iter	Passed	Remaining
986	10941	144
987	10952	133
988	10964	121
989	10973	110
990	10984	99
991	10996	88
992	11008	77
993	11019	66
994	11032	55
995	11043	44
996	11054	33
997	11065	22
998	11075	11
999	11084	0
